focal,estimator,experience,industry,region,health,yearFE,sample,identified,b,se
union,pooled,0,0,0,0,0,full,1,0.179265,0.030008
union,pooled,0,0,0,0,0,nohealth,1,0.177686,0.030150
union,pooled,0,0,0,0,0,trim,1,0.181910,0.027619
union,pooled,0,0,0,0,1,full,1,0.183720,0.029570
union,pooled,0,0,0,0,1,nohealth,1,0.182831,0.029733
union,pooled,0,0,0,0,1,trim,1,0.186272,0.027240
union,pooled,1,0,0,0,0,full,1,0.167267,0.029970
union,pooled,1,0,0,0,0,nohealth,1,0.165759,0.030145
union,pooled,1,0,0,0,0,trim,1,0.171279,0.027614
union,pooled,1,0,0,0,1,full,1,0.179899,0.029260
union,pooled,1,0,0,0,1,nohealth,1,0.179195,0.029405
union,pooled,1,0,0,0,1,trim,1,0.182008,0.027000
union,pooled,0,1,0,0,0,full,1,0.129940,0.029052
union,pooled,0,1,0,0,0,nohealth,1,0.128841,0.029244
union,pooled,0,1,0,0,0,trim,1,0.126035,0.027227
union,pooled,0,1,0,0,1,full,1,0.139944,0.028612
union,pooled,0,1,0,0,1,nohealth,1,0.139721,0.028783
union,pooled,0,1,0,0,1,trim,1,0.135418,0.026820
union,pooled,1,1,0,0,0,full,1,0.124446,0.029202
union,pooled,1,1,0,0,0,nohealth,1,0.123685,0.029408
union,pooled,1,1,0,0,0,trim,1,0.121156,0.027376
union,pooled,1,1,0,0,1,full,1,0.137913,0.028281
union,pooled,1,1,0,0,1,nohealth,1,0.137856,0.028430
union,pooled,1,1,0,0,1,trim,1,0.133639,0.026419
union,pooled,0,0,1,0,0,full,1,0.180195,0.030238
union,pooled,0,0,1,0,0,nohealth,1,0.178462,0.030385
union,pooled,0,0,1,0,0,trim,1,0.181992,0.027860
union,pooled,0,0,1,0,1,full,1,0.183955,0.029754
union,pooled,0,0,1,0,1,nohealth,1,0.182875,0.029927
union,pooled,0,0,1,0,1,trim,1,0.185823,0.027450
union,pooled,1,0,1,0,0,full,1,0.167534,0.030155
union,pooled,1,0,1,0,0,nohealth,1,0.165876,0.030339
union,pooled,1,0,1,0,0,trim,1,0.170829,0.027842
union,pooled,1,0,1,0,1,full,1,0.180631,0.029401
union,pooled,1,0,1,0,1,nohealth,1,0.179734,0.029559
union,pooled,1,0,1,0,1,trim,1,0.182078,0.027172
union,pooled,0,1,1,0,0,full,1,0.128897,0.028786
union,pooled,0,1,1,0,0,nohealth,1,0.127480,0.028965
union,pooled,0,1,1,0,0,trim,1,0.124557,0.026928
union,pooled,0,1,1,0,1,full,1,0.138239,0.028282
union,pooled,0,1,1,0,1,nohealth,1,0.137656,0.028447
union,pooled,0,1,1,0,1,trim,1,0.133438,0.026479
union,pooled,1,1,1,0,0,full,1,0.122776,0.028872
union,pooled,1,1,1,0,0,nohealth,1,0.121697,0.029072
union,pooled,1,1,1,0,0,trim,1,0.119203,0.027050
union,pooled,1,1,1,0,1,full,1,0.136530,0.027934
union,pooled,1,1,1,0,1,nohealth,1,0.136125,0.028081
union,pooled,1,1,1,0,1,trim,1,0.132011,0.026071
union,pooled,0,0,0,1,0,full,1,0.178120,0.030074
union,pooled,0,0,0,1,0,nohealth,1,0.177686,0.030150
union,pooled,0,0,0,1,0,trim,1,0.180635,0.027669
union,pooled,0,0,0,1,1,full,1,0.182867,0.029615
union,pooled,0,0,0,1,1,nohealth,1,0.182831,0.029733
union,pooled,0,0,0,1,1,trim,1,0.185253,0.027270
union,pooled,1,0,0,1,0,full,1,0.166196,0.030024
union,pooled,1,0,0,1,0,nohealth,1,0.165759,0.030145
union,pooled,1,0,0,1,0,trim,1,0.170074,0.027651
union,pooled,1,0,0,1,1,full,1,0.179037,0.029302
union,pooled,1,0,0,1,1,nohealth,1,0.179195,0.029405
union,pooled,1,0,0,1,1,trim,1,0.180967,0.027029
union,pooled,0,1,0,1,0,full,1,0.128798,0.029092
union,pooled,0,1,0,1,0,nohealth,1,0.128841,0.029244
union,pooled,0,1,0,1,0,trim,1,0.124795,0.027252
union,pooled,0,1,0,1,1,full,1,0.139056,0.028641
union,pooled,0,1,0,1,1,nohealth,1,0.139721,0.028783
union,pooled,0,1,0,1,1,trim,1,0.134388,0.026833
union,pooled,1,1,0,1,0,full,1,0.123378,0.029237
union,pooled,1,1,0,1,0,nohealth,1,0.123685,0.029408
union,pooled,1,1,0,1,0,trim,1,0.119978,0.027394
union,pooled,1,1,0,1,1,full,1,0.137025,0.028307
union,pooled,1,1,0,1,1,nohealth,1,0.137856,0.028430
union,pooled,1,1,0,1,1,trim,1,0.132603,0.026430
union,pooled,0,0,1,1,0,full,1,0.179013,0.030315
union,pooled,0,0,1,1,0,nohealth,1,0.178462,0.030385
union,pooled,0,0,1,1,0,trim,1,0.180672,0.027925
union,pooled,0,0,1,1,1,full,1,0.183066,0.029812
union,pooled,0,0,1,1,1,nohealth,1,0.182875,0.029927
union,pooled,0,0,1,1,1,trim,1,0.184760,0.027495
union,pooled,1,0,1,1,0,full,1,0.166426,0.030220
union,pooled,1,0,1,1,0,nohealth,1,0.165876,0.030339
union,pooled,1,0,1,1,0,trim,1,0.169579,0.027893
union,pooled,1,0,1,1,1,full,1,0.179727,0.029455
union,pooled,1,0,1,1,1,nohealth,1,0.179734,0.029559
union,pooled,1,0,1,1,1,trim,1,0.180987,0.027215
union,pooled,0,1,1,1,0,full,1,0.127720,0.028828
union,pooled,0,1,1,1,0,nohealth,1,0.127480,0.028965
union,pooled,0,1,1,1,0,trim,1,0.123271,0.026955
union,pooled,0,1,1,1,1,full,1,0.137317,0.028314
union,pooled,0,1,1,1,1,nohealth,1,0.137656,0.028447
union,pooled,0,1,1,1,1,trim,1,0.132364,0.026496
union,pooled,1,1,1,1,0,full,1,0.121672,0.028909
union,pooled,1,1,1,1,0,nohealth,1,0.121697,0.029072
union,pooled,1,1,1,1,0,trim,1,0.117980,0.027071
union,pooled,1,1,1,1,1,full,1,0.135603,0.027962
union,pooled,1,1,1,1,1,nohealth,1,0.136125,0.028081
union,pooled,1,1,1,1,1,trim,1,0.130925,0.026086
union,between,0,0,0,0,0,full,1,0.252770,0.049730
union,between,0,0,0,0,0,nohealth,1,0.246957,0.049508
union,between,0,0,0,0,0,trim,1,0.264845,0.045632
union,between,0,0,0,0,1,full,1,0.252770,0.049730
union,between,0,0,0,0,1,nohealth,1,0.254355,0.050092
union,between,0,0,0,0,1,trim,1,0.262322,0.045222
union,between,1,0,0,0,0,full,1,0.256666,0.050286
union,between,1,0,0,0,0,nohealth,1,0.250316,0.050039
union,between,1,0,0,0,0,trim,1,0.269155,0.045936
union,between,1,0,0,0,1,full,1,0.256666,0.050286
union,between,1,0,0,0,1,nohealth,1,0.259049,0.050678
union,between,1,0,0,0,1,trim,1,0.260142,0.045783
union,between,0,1,0,0,0,full,1,0.156990,0.048773
union,between,0,1,0,0,0,nohealth,1,0.152844,0.048499
union,between,0,1,0,0,0,trim,1,0.166170,0.044008
union,between,0,1,0,0,1,full,1,0.156990,0.048773
union,between,0,1,0,0,1,nohealth,1,0.157641,0.049369
union,between,0,1,0,0,1,trim,1,0.154126,0.043620
union,between,1,1,0,0,0,full,1,0.167048,0.049130
union,between,1,1,0,0,0,nohealth,1,0.161982,0.048811
union,between,1,1,0,0,0,trim,1,0.177078,0.044163
union,between,1,1,0,0,1,full,1,0.167048,0.049130
union,between,1,1,0,0,1,nohealth,1,0.168092,0.049728
union,between,1,1,0,0,1,trim,1,0.159748,0.044012
union,between,0,0,1,0,0,full,1,0.253760,0.049514
union,between,0,0,1,0,0,nohealth,1,0.248156,0.049284
union,between,0,0,1,0,0,trim,1,0.264727,0.045428
union,between,0,0,1,0,1,full,1,0.253760,0.049514
union,between,0,0,1,0,1,nohealth,1,0.254299,0.049869
union,between,0,0,1,0,1,trim,1,0.262532,0.045107
union,between,1,0,1,0,0,full,1,0.257589,0.050039
union,between,1,0,1,0,0,nohealth,1,0.251616,0.049784
union,between,1,0,1,0,0,trim,1,0.269524,0.045710
union,between,1,0,1,0,1,full,1,0.257589,0.050039
union,between,1,0,1,0,1,nohealth,1,0.258806,0.050430
